gemeinde;ort_id;ort
Grabowhöfe;419;Louisenfeld (Grabowhöfe)
Galenbeck;390;Lübbersdorf (Galenbeck)
Penzlin, Stadt;256;Lübkow (Penzlin, Stadt)
Mölln;619;Lüdershof (Mölln)
Südmüritz;568;Ludorf (Südmüritz)
Golchen;122;Ludwigshöhe (Golchen)
Neuenkirchen;669;Luisenhof (Neuenkirchen)
Moltzow;627;Lupendorf (Moltzow)
Rosenow;754;Luplow (Rosenow)
Klocksin;521;Lütgendorf (Klocksin)
Feldberger Seenlandschaft;341;Lüttenhagen (Feldberger Seenlandschaft)
Neuenkirchen;81;Magdalenenhöh (Neuenkirchen)
Hohen Wangelin;477;Malkwitz (Hohen Wangelin)
Penzlin, Stadt;249;Mallin (Penzlin, Stadt)
Fincken;92;Marienhof (Fincken)
Lindetal;564;Marienhof (Lindetal)
Wolde;128;Marienhof (Wolde)
Gnevkow;124;Marienhöhe (Gnevkow)
Penzlin, Stadt;269;Marihn (Penzlin, Stadt)
Ivenack;486;Markow (Ivenack)
Moltzow;630;Marxhagen (Moltzow)
Eldetal;585;Massow (Eldetal)
Schönhausen;778;Matzdorf (Schönhausen)
Kummerow;29;Maxfelde (Kummerow)
Feldberger Seenlandschaft;350;Mechow (Feldberger Seenlandschaft)
Nossendorf;700;Medrow (Nossendorf)
Meesiger;587;Meesiger (Meesiger)
Torgelow am See;110;Meierei (Torgelow am See)
Melz;589;Melz (Melz)
Borrentin;181;Metschow (Borrentin)
Woldegk, Stadt;911;Mildenitz (Woldegk, Stadt)
Pripsleben;729;Miltitzwalde (Pripsleben)
Peenehagen;717;Minenhof (Peenehagen)
Leizen;551;Minzow (Leizen)
Kittendorf;504;Mittelhof (Kittendorf)
Möllenbeck;608;Möllenbeck (Möllenbeck)
Möllenhagen;618;Möllenhagen (Möllenhagen)
Penzlin, Stadt;262;Mollenstorf (Penzlin, Stadt)
Mölln;622;Mölln (Mölln)
Borrentin;182;Moltzahn (Borrentin)
Moltzow;631;Moltzow (Moltzow)
Alt Schwerin;35;Mönchbusch (Alt Schwerin)
Eldetal;935;Mönchshof (Eldetal)
Burow;210;Mühlenhagen (Burow)
Neddemin;633;Neddemin (Neddemin)
Neetzka;635;Neetzka (Neetzka)
Basedow;19;Neu Basedow (Basedow)
Dargun, Stadt;231;Neubauhof (Dargun, Stadt)
Stavenhagen, Reuterstadt, Sta*;811;Neubauhof (Stavenhagen, Reuterstadt, Sta*)
Bredenfelde;283;Neu Bredenfelde (Bredenfelde)
Wokuhl-Dabelow;67;Neubrück (Wokuhl-Dabelow)
Wustrow;43;Neu Canow (Wustrow)
Dargun, Stadt;1659;Neu Darbein (Dargun, Stadt)
